session,trial,staircase,orientation,response,correct,contrast1,contrast2
3,19,2,left,left,True,0.6,1.65
3,19,3,right,right,True,0.6,1.65
3,20,2,right,right,True,0.6,1.65
3,20,3,left,left,True,0.55,1.65
3,21,2,right,right,True,0.55,1.6
3,21,3,left,left,True,0.55,1.6
3,22,2,right,right,True,0.55,1.6
3,22,3,left,left,True,0.5,1.6
3,23,2,left,left,True,0.5,1.6
3,23,3,left,left,True,0.5,1.6
3,24,2,right,left,False,0.5,1.55
3,24,3,left,left,True,0.55,1.55
3,25,2,left,left,True,0.55,1.55
3,25,3,right,right,True,0.55,1.55
