block,trial,word,color,congruent,rt_ms,response_key,recognized_color,correct,timed_out,no_response
3,55,blue,yellow,False,1273.4,j,green,False,False,False
3,56,yellow,yellow,True,567.1,k,yellow,True,False,False
3,57,blue,blue,True,644.2,f,blue,True,False,False
3,58,green,blue,False,517.0,f,blue,True,False,False
3,59,green,green,True,635.3,j,green,True,False,False
3,60,blue,red,False,523.7,d,red,True,False,False
3,61,blue,blue,True,686.6,f,blue,True,False,False
3,62,yellow,red,False,705.5,k,yellow,False,False,False
3,63,blue,red,False,591.2,d,red,True,False,False
3,64,blue,blue,True,610.4,f,blue,True,False,False
3,65,green,green,True,577.9,j,green,True,False,False
3,66,green,green,True,663.1,j,green,True,False,False
3,67,yellow,yellow,True,680.7,k,yellow,True,False,False
3,68,blue,blue,True,931.3,f,blue,True,False,False
3,69,yellow,green,False,947.7,j,green,True,False,False
3,70,blue,yellow,False,896.7,f,blue,False,False,False
3,71,red,green,False,828.5,j,green,True,False,False
3,72,yellow,yellow,True,430.6,k,yellow,True,False,False
3,73,green,yellow,False,1179.1,k,yellow,True,False,False
3,74,yellow,yellow,True,547.2,k,yellow,True,False,False
3,75,green,green,True,742.3,j,green,True,False,False
3,76,blue,blue,True,564.1,f,blue,True,False,False
3,77,red,red,True,624.1,d,red,True,False,False
3,78,red,blue,False,855.7,f,blue,True,False,False
3,79,red,red,True,685.5,d,red,True,False,False
3,80,blue,red,False,794.6,f,blue,False,False,False
3,81,blue,blue,True,611.8,f,blue,True,False,False
3,82,blue,green,False,827.0,j,green,True,False,False
3,83,yellow,green,False,721.8,k,yellow,False,False,False
3,84,yellow,yellow,True,616.7,k,yellow,True,False,False
3,85,blue,red,False,846.9,d,red,True,False,False
3,86,green,red,False,1155.7,j,green,False,False,False
3,87,red,red,True,514.5,d,red,True,False,False
3,88,yellow,red,False,767.9,d,red,True,False,False
3,89,blue,red,False,598.1,d,red,True,False,False
3,90,red,blue,False,733.8,f,blue,True,False,False
3,91,blue,blue,True,684.8,f,blue,True,False,False
3,92,blue,red,False,958.8,d,red,True,False,False
3,93,red,yellow,False,1149.6,k,yellow,True,False,False
3,94,green,green,True,538.3,j,green,True,False,False
3,95,blue,green,False,763.3,j,green,True,False,False
3,96,red,blue,False,684.2,f,blue,True,False,False
3,97,yellow,blue,False,1265.2,f,blue,True,False,False
3,98,blue,blue,True,640.6,f,blue,True,False,False
3,99,yellow,blue,False,760.4,f,blue,True,False,False
3,100,green,green,True,568.3,j,green,True,False,False
4,1,green,green,True,808.8,f,blue,False,False,False
4,2,blue,yellow,False,800.0,k,yellow,True,False,False
4,3,green,green,True,543.2,j,green,True,False,False
4,4,yellow,red,False,633.3,d,red,True,False,False
4,5,yellow,blue,False,759.9,f,blue,True,False,False
4,6,green,green,True,589.4,j,green,True,False,False
