block,trial,word,color,congruent,rt_ms,recognized_text,correct,timed_out,no_response,audio_file,max_rms,onset_offset_in_wav_ms
2,52,green,green,True,733.6,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial052.wav,5365.8,782.4
2,53,red,red,True,623.6,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial053.wav,2994.0,679.6
2,54,yellow,blue,False,783.4,yellow,False,True,False,data\voice\audio\1_20260818_215922\block2_trial054.wav,3825.4,840.2
2,55,yellow,blue,False,864.8,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial055.wav,4626.4,923.2
2,56,blue,blue,True,802.0,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial056.wav,4214.3,860.8
2,57,blue,blue,True,739.1,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial057.wav,3907.8,791.8
2,58,yellow,blue,False,1100.6,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial058.wav,4658.5,1154.5
2,59,red,blue,False,1033.9,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial059.wav,4477.5,1089.5
2,60,green,green,True,757.5,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial060.wav,4387.1,815.1
2,61,green,blue,False,1166.1,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial061.wav,4806.5,1214.9
2,62,green,green,True,1083.6,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial062.wav,5096.8,1142.3
2,63,red,yellow,False,911.6,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial063.wav,4551.8,968.0
2,64,red,red,True,1181.8,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial064.wav,4125.2,1238.2
2,65,blue,blue,True,806.0,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial065.wav,4527.8,865.5
2,66,green,green,True,821.9,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial066.wav,5416.5,875.6
2,67,red,yellow,False,733.5,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial067.wav,4403.6,785.5
2,68,red,green,False,792.3,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial068.wav,4237.0,844.7
2,69,yellow,green,False,807.3,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial069.wav,4024.8,858.2
2,70,red,red,True,701.7,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial070.wav,3783.0,755.9
2,71,green,red,False,1311.2,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial071.wav,3474.8,1365.5
2,72,red,yellow,False,940.2,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial072.wav,4090.7,989.7
2,73,green,yellow,False,893.4,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial073.wav,3720.4,944.1
2,74,green,yellow,False,711.8,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial074.wav,3468.8,770.1
2,75,yellow,yellow,True,719.3,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial075.wav,2459.9,775.1
2,76,yellow,yellow,True,726.6,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial076.wav,3041.5,785.8
2,77,red,blue,False,849.5,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial077.wav,4578.2,902.9
2,78,green,blue,False,1050.5,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial078.wav,4320.1,1107.4
2,79,green,red,False,1116.6,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial079.wav,2703.7,1175.4
2,80,blue,blue,True,1068.7,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial080.wav,4360.2,1122.6
2,81,blue,yellow,False,1219.1,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial081.wav,3633.1,1277.6
